登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説,通算チェック回数,最終チェック日時
E00011,1,,establish,動詞,設立する、確立する,to start something that will last,The company was established in 1985.,その会社は1985年に設立された。,stable（安定した）と同じ語源。「据えて動かなくする」。,0,
E00012,1,,indicate,動詞,示す、指し示す,to show or point out,The log indicates that the job stopped at 3 a.m.,ログは処理が午前3時に止まったことを示している。,show より客観的。データや資料が主語になりやすい。,0,
E00013,1,,appropriate,形容詞,適切な、ふさわしい,suitable for a particular situation,Choose an appropriate name for the file.,ファイルにふさわしい名前を付けてください。,動詞だと「流用する」で発音も変わる（アプロプリエイト）。,0,
E00014,1,,assume,動詞,当然と思う、想定する,to think something is true without proof,Do not assume the data is correct.,データが正しいと決めてかからないこと。,「証拠なしに思い込む」という含みがある。,0,
E00015,1,,previous,形容詞,前の、以前の,happening before the present one,Compare it with the previous version.,前の版と見比べてください。,next の反対は previous。before は前置詞なので使い分ける。,0,
E00016,1,,sufficient,形容詞,十分な,as much as is needed,We do not have sufficient time to test everything.,全部を試すだけの時間はない。,enough より硬い。書き言葉向き。,0,
E00017,1,,eventually,副詞,最終的には、やがて,"in the end, after a long time",The problem was eventually solved.,その問題はやがて解決した。,「いつかは」であって「たぶん」ではない。日本人が誤解しやすい語。,0,
E00018,1,,regard,動詞,みなす、考える,to think of someone or something in a certain way,She is regarded as the best engineer in the team.,彼女はチームで一番の技術者とみなされている。,regard A as B の形で覚える。,0,
E00019,1,,conduct,動詞,行う、実施する,to organize and do something,We conducted a survey last month.,先月、調査を実施した。,名詞だと「行い、品行」。発音の強勢が前に移る。,0,
E00020,1,,obtain,動詞,得る、入手する,to get something you want,You can obtain the manual from the website.,手引書はそのサイトから入手できます。,get の硬い言い方。書類の文章でよく見る。,0,
E00021,1,,reliable,形容詞,信頼できる、当てになる,able to be trusted,We need a more reliable method.,もっと当てになるやり方が要る。,rely（頼る）＋ -able（できる）。,0,
E00022,1,,complicated,形容詞,込み入った、複雑な,difficult to understand because of many parts,The procedure is too complicated for new members.,その手順は新しい人には込み入りすぎている。,complex は「構造が複雑」、complicated は「ややこしい」。,0,
E00023,1,,estimate,動詞,見積もる,to guess the size or cost of something,I estimate that it will take two days.,2日はかかると見ています。,名詞では「見積り」。仕事の場面で頻出。,0,
E00024,1,,relevant,形容詞,関連のある、当てはまる,connected with what is being discussed,Please attach the relevant documents.,関係する資料を添えてください。,relevant to ～ の形で使う。irrelevant は「無関係な」。,0,
E00025,1,,advantage,名詞,利点、強み,something that helps you be better off,The main advantage is that no installation is needed.,一番の利点は、入れる作業が要らないことだ。,take advantage of ～ で「～を利用する」。,0,
E00026,1,,attempt,名詞,試み,an act of trying to do something,"The first attempt failed, but the second worked.",最初の試みは失敗したが、2回目はうまくいった。,動詞でも同じ形。try より硬い。,0,
E00027,1,,consistent,形容詞,一貫した、矛盾のない,always behaving in the same way,Keep the naming consistent across all files.,すべてのファイルで名前の付け方をそろえてください。,consist（成り立つ）から。be consistent with ～ は「～と合っている」。,0,
E00028,1,,emphasize,動詞,強調する,to give special importance to something,He emphasized the need for daily backups.,彼は毎日の控えの必要性を強調した。,名詞は emphasis。アクセントの位置が変わる。,0,
E00029,1,,prevent,動詞,防ぐ、妨げる,to stop something from happening,This check prevents the same error from occurring.,この確認が同じ誤りの再発を防ぐ。,prevent A from -ing の形で覚える。,0,
E00030,1,,initial,形容詞,最初の、初期の,happening at the beginning,The initial setting is 20 questions.,初期の設定は20問です。,名詞の initials は「頭文字」。,0,
E00031,1,,thorough,形容詞,徹底した、入念な,complete and careful,We did a thorough review of the code.,コードを入念に見直した。,through（通り抜けて）と綴りが似ているので注意。,0,
E00032,1,,convenient,形容詞,便利な、都合のよい,useful and easy to use,Would Friday be convenient for you?,金曜はご都合いかがですか。,人を主語にして「I am convenient」とは言わない。,0,
E00033,1,,look forward to,熟語,～を楽しみに待つ,to feel happy about something that is going to happen,I look forward to hearing from you.,ご連絡をお待ちしています。,to のあとは名詞か -ing。原形は入らない（× look forward to hear）。,0,
E00034,1,,get the hang of it,慣用句,コツをつかむ,to learn how to do something,"It looks hard at first, but you will get the hang of it.",はじめは難しく見えるが、そのうちコツをつかめる。,hang は「扱いかた」の意。仕事の引き継ぎでよく使う言い回し。,0,
E00035,1,,0800 number,名詞,英国のフリーダイヤル番号,"in the UK, a free phone number that begins with 0800, provided by companies or other organizations offering advice or information","in the UK, a free phone number that begins with 0800, provided by companies or other organizations offering advice or information",英国で、企業やその他の団体が相談や情報提供のために設けている、0800で始まる通話料無料の電話番号。,"（英国の）企業や団体が問い合わせや相談窓口として提供している、0800で始まるフリーダイヤル番号。
英国ではオーエイトハンドレッドと読み、米国ではゼロエイトゼロゼロと読む",0,
E01001,1,1,have,動詞,持っている、（経験を）持つ,to own or hold something,We have three meetings this afternoon.,今日の午後は会議が3つある。,have + 過去分詞 で完了の意味にもなる（I have finished）。,0,
E01002,1,1,do,動詞,する、行う,to perform an action,What do you do for a living?,お仕事は何をされていますか。,疑問文・否定文を作る助動詞としても使う。,0,
E01003,1,1,say,動詞,言う、述べる,to speak words,He said that the report was ready.,彼は報告書ができたと言った。,say は「内容」を言う。相手を示すときは say to 人。,0,
E01004,1,1,go,動詞,行く,to move to another place,I go to the office three days a week.,週に3日は事務所へ行く。,go -ing で「～しに行く」（go shopping）。,0,
E01005,1,1,get,動詞,手に入れる、～になる,"to obtain, or to become",I got your email this morning.,今朝メールを受け取りました。,意味が非常に広い。get + 形容詞 で「～になる」（get tired）。,0,
E01006,1,1,make,動詞,作る、～させる,"to create, or to cause someone to do",This tool makes the work much easier.,この道具のおかげで作業がずっと楽になる。,make + 人 + 動詞の原形 で「～させる」。,0,
E01007,1,1,know,動詞,知っている,to have information in your mind,I do not know the reason yet.,まだ理由が分からない。,進行形にしない動詞（× I am knowing）。,0,
E01008,1,1,think,動詞,考える、思う,to have an opinion or idea,I think we should wait one more day.,もう1日待つべきだと思う。,think about（あれこれ考える）と think of（思いつく）を区別する。,0,
E01009,1,1,take,動詞,取る、（時間が）かかる,"to get hold of, or to need time",It takes about ten minutes to build.,ビルドに10分ほどかかる。,It takes + 時間 + to 動詞 の形でよく使う。,0,
E01010,1,1,see,動詞,見える、分かる,"to notice with your eyes, or to understand",I see what you mean.,おっしゃることは分かります。,意識して見るのは look at、見える状態が see。,0,
E01011,1,1,come,動詞,来る,to move toward the speaker,The parts will come next Monday.,部品は来週の月曜に届く。,come from ～ で「～の出身だ」。,0,
E01012,1,1,want,動詞,欲しい、～したい,to wish for something,I want to check the log first.,まずログを確かめたい。,want to 動詞 の形が基本。進行形にしない。,0,
E01013,1,1,look,動詞,見る、～に見える,"to direct your eyes, or to seem",The numbers look strange.,その数字はおかしく見える。,look at（見る）／look for（探す）／look like（～に似ている）。,0,
E01014,1,1,use,動詞,使う,to employ something for a purpose,We use Python for all our tools.,ツールはすべて Python で作っている。,名詞の use は「ユース」、動詞は「ユーズ」と濁る。,0,
E01015,1,1,find,動詞,見つける、分かる,to discover something,I found three errors in the file.,そのファイルに誤りを3つ見つけた。,find out は「調べて分かる」。,0,
E01016,1,1,give,動詞,与える,to hand something to someone,Please give me a call when you arrive.,着いたら電話をください。,give 人 もの ＝ give もの to 人。,0,
E01017,1,1,tell,動詞,伝える、話す,to inform someone,Tell me if anything goes wrong.,何かあったら教えてください。,tell は必ず相手を書く（tell 人 こと）。say との違い。,0,
E01018,1,1,work,動詞,働く、（機械が）動く,"to do a job, or to function",The new script works without errors.,新しいスクリプトはエラーなく動く。,名詞では「仕事」。数えられない名詞。,0,
E01019,1,1,call,動詞,呼ぶ、電話する,"to telephone, or to name",I will call you after the meeting.,会議のあとで電話します。,call A B で「A を B と呼ぶ」。,0,
E01020,1,1,try,動詞,試す、努力する,to attempt something,Try restarting the application first.,まずアプリを立ち上げ直してみて。,try to 動詞（努力する）と try -ing（試しにやる）で意味が違う。,0,
E01021,1,1,ask,動詞,尋ねる、頼む,"to put a question, or to request",She asked me to review the design.,彼女は設計を見てほしいと言ってきた。,ask 人 to 動詞 で「～するよう頼む」。,0,
E01022,1,1,need,動詞,必要とする,to require something,You need administrator rights for this.,これには管理者権限が要る。,need to 動詞。否定は don't need to（～する必要はない）。,0,
E01023,1,1,feel,動詞,感じる,to experience an emotion or sensation,I feel that this approach is safer.,こちらのやり方のほうが安全だと感じる。,feel + 形容詞（I feel tired）。feel like -ing は「～したい気分」。,0,
E01024,1,1,become,動詞,～になる,to start to be something,The tool has become part of our routine.,そのツールは日課の一部になった。,become + 名詞／形容詞。過去形 became、過去分詞 become。,0,
E01025,1,1,leave,動詞,去る、置いていく,"to go away, or to let something stay",Please leave the file as it is.,そのファイルはそのままにしておいてください。,leave + もの + 状態 で「～のままにする」。,0,
E01026,1,1,put,動詞,置く,to move something into a place,Put the backup in the shared folder.,控えは共有フォルダに置いてください。,過去形も過去分詞も put のまま。,0,
E01027,1,1,mean,動詞,意味する、～のつもりだ,"to signify, or to intend",What does this error mean?,このエラーはどういう意味ですか。,I mean … は言い直すときの前置きにも使う。,0,
E01028,1,1,keep,動詞,保つ、～し続ける,to continue to have or do,Keep the original file just in case.,念のため元のファイルは残しておいて。,keep -ing で「～し続ける」。,0,
E01029,1,1,let,動詞,～させる、許す,to allow someone to do something,Let me know your schedule.,予定を教えてください。,let + 人 + 動詞の原形。to は付けない。,0,
E01030,1,1,begin,動詞,始まる、始める,to start,The test begins at nine.,テストは9時に始まる。,start より少し硬い。過去形 began、過去分詞 begun。,0,
E01031,1,1,seem,動詞,～のように見える,to appear to be,It seems that the server is down.,サーバーが止まっているようだ。,It seems that … の形が便利。,0,
E01032,1,1,help,動詞,助ける、役に立つ,to make it easier for someone,This note will help new members.,この覚書は新しい人の役に立つ。,help 人 (to) 動詞 の to は省いてよい。,0,
E01033,1,1,talk,動詞,話す,to speak with someone,Let us talk about it tomorrow.,その件は明日話しましょう。,talk about（話題）／talk to（相手）。,0,
E01034,1,1,turn,動詞,回す、～になる,"to move around, or to change into",Turn off the machine before you leave.,帰る前に機械の電源を切ってください。,turn on／off（つける・消す）は日常で頻出。,0,
E01035,1,1,start,動詞,始める、始まる,to begin,We started the project last April.,その案件は去年の4月に始めた。,begin とほぼ同じ。機械を「始動させる」意味は start だけ。,0,
E01036,1,1,show,動詞,見せる、示す,to let someone see,The log shows what happened.,ログを見れば何が起きたか分かる。,show 人 もの ＝ show もの to 人。,0,
E01037,1,1,hear,動詞,聞こえる、耳にする,to receive sound with your ears,I heard about the change from Tanaka.,その変更は田中さんから聞いた。,意識して聞くのは listen to、聞こえるのが hear。,0,
E01038,1,1,play,動詞,遊ぶ、（競技を）する,to take part in a game,The team plays an important role here.,そのチームはここで重要な役割を担っている。,play a role（役割を果たす）は仕事の文章でよく出る。,0,
E01039,1,1,run,動詞,走る、運営する、（機械を）動かす,"to move fast, or to operate",Run the batch file to build it.,バッチを実行するとビルドできる。,IT では「実行する」の意味で毎日使う。,0,
E01040,1,1,move,動詞,動く、移す,to change position,We moved the folder to the D drive.,そのフォルダは D ドライブへ移した。,move on は「先へ進む」。,0,
E01041,1,1,live,動詞,住む、生きる,to have your home somewhere,I live about an hour from the office.,事務所から1時間ほどのところに住んでいる。,形容詞の live（生の）は「ライブ」と発音が変わる。,0,
E01042,1,1,believe,動詞,信じる、思う,to think something is true,I believe the setting is correct.,その設定で合っていると思う。,think より確信が強い。進行形にしない。,0,
E01043,1,1,hold,動詞,持つ、（会を）開く,"to carry, or to organize an event",We hold a review every Friday.,毎週金曜に見直しの会を開いている。,Hold on. は電話で「少しお待ちください」。,0,
E01044,1,1,bring,動詞,持ってくる,to carry something to a place,Bring your laptop to the meeting.,会議にはノートPCを持ってきてください。,持っていくのは take、持ってくるのは bring。,0,
E01045,1,1,happen,動詞,起こる,to take place,The same error happened again.,同じエラーがまた起きた。,happen to 動詞 で「たまたま～する」。,0,
E01046,1,1,write,動詞,書く,to put words on paper or a screen,I wrote the manual last week.,先週その手引書を書いた。,write down は「書き留める」。,0,
E01047,1,1,provide,動詞,提供する、与える,to supply something,The tool provides a daily report.,そのツールは日報を出してくれる。,provide 人 with もの ／ provide もの for 人。,0,
E01048,1,1,sit,動詞,座る,to rest on a seat,Please sit anywhere you like.,どこでも好きなところにお座りください。,座っている状態は be sitting。,0,
E01049,1,1,stand,動詞,立つ、耐える,"to be on your feet, or to bear",I cannot stand this slow response.,この反応の遅さには耐えられない。,stand for は「～を表す」（略語の説明で使う）。,0,
E01050,1,1,lose,動詞,失う、負ける,to no longer have something,Do not lose the license key.,ライセンスキーをなくさないように。,loose（ゆるい）と綴りを間違えやすい。,0,
E01051,1,1,pay,動詞,払う,to give money for something,The company pays for the training.,研修の費用は会社が払う。,pay attention to（注意を払う）も頻出。,0,
E01052,1,1,meet,動詞,会う、満たす,"to come together, or to satisfy",Does this meet the requirement?,これで要件を満たしていますか。,meet a deadline（締切に間に合う）も覚えたい。,0,
E01053,1,1,include,動詞,含む,to have as a part,The price includes shipping.,その値段には送料が含まれる。,including は前置詞のように使う（～を含めて）。,0,
E01054,1,1,continue,動詞,続ける、続く,to keep going,We will continue the test tomorrow.,テストは明日も続けます。,continue to 動詞 でも continue -ing でもよい。,0,
E01055,1,1,set,動詞,設定する、置く,to fix or arrange something,Set the timeout to thirty seconds.,待ち時間は30秒にしてください。,過去形も過去分詞も set のまま。,0,
E01056,1,1,learn,動詞,学ぶ、知る,to gain knowledge,I learned a lot from that mistake.,あの失敗から多くを学んだ。,study は「勉強する」、learn は「身につく」。,0,
E01057,1,1,change,動詞,変える、変わる,to make or become different,We changed the name of the file.,そのファイルの名前を変えた。,名詞では「変更」「おつり」。,0,
E01058,1,1,understand,動詞,理解する,to know the meaning of something,I understand the problem now.,問題が分かりました。,進行形にしない。過去形は understood。,0,
E01059,1,1,watch,動詞,じっと見る、見守る,to look at something for a time,Watch the screen while it installs.,入れている間は画面を見ていてください。,動くものをしばらく見るのが watch。,0,
E01060,1,1,follow,動詞,従う、ついていく,"to go after, or to obey",Follow the steps in this order.,この順番どおりに進めてください。,as follows は「次のとおり」。,0,
E01061,1,1,stop,動詞,止める、やめる,to end a movement or action,Stop the process before you copy.,コピーの前に処理を止めてください。,stop -ing（やめる）と stop to 動詞（～するために止まる）は別。,0,
E01062,1,1,create,動詞,作り出す,to make something new,Create a folder for each month.,月ごとにフォルダを作ってください。,make より「新しく生み出す」感じが強い。,0,
E01063,1,1,speak,動詞,話す,to say words,Could you speak more slowly?,もう少しゆっくり話していただけますか。,speak English のように言語を目的語に取れる。,0,
E01064,1,1,read,動詞,読む,to look at and understand words,Read the notes before you build.,ビルドの前に注意書きを読んでください。,"過去形・過去分詞も read だが発音は「レッド」。
読めるという自動詞もある。",0,
E01065,1,1,allow,動詞,許す、可能にする,to let something happen,The setting allows two connections.,その設定なら接続は2本まで使える。,allow 人 to 動詞 の形で覚える。,0,
E01066,1,1,add,動詞,加える,to put something with another thing,Add a comment so others understand.,ほかの人が分かるように注記を足して。,add A to B（B に A を足す）。,0,
E01067,1,1,spend,動詞,（金・時間を）使う,to use money or time,We spent two hours on that bug.,その不具合に2時間かけた。,spend 時間 -ing の形（spend time reading）。,0,
E01068,1,1,grow,動詞,育つ、増える,to become bigger,The file grows about 1 MB a day.,そのファイルは1日に1MBほど増える。,grow up は「大人になる」。,0,
E01069,1,1,open,動詞,開く、開ける,to make something not closed,Open the file with a text editor.,そのファイルはテキストエディタで開いて。,形容詞でも「開いている」（The shop is open）。,0,
E01070,1,1,walk,動詞,歩く,to move on foot,I walk to the station every morning.,毎朝、駅まで歩いている。,walk through は「順を追って説明する」。,0,
E01071,1,1,win,動詞,勝つ、獲得する,to be the best in a contest,Our team won the contract.,うちのチームがその契約を取った。,過去形も過去分詞も won（発音はワン）。,0,
E01072,1,1,offer,動詞,申し出る、提供する,to say you are willing to give,They offered to help with the test.,テストを手伝うと申し出てくれた。,名詞では「申し出」「特価」。,0,
E01073,1,1,remember,動詞,覚えている、思い出す,to keep something in your memory,Remember to save before you close.,閉じる前に保存するのを忘れずに。,remember to 動詞（これからする）と remember -ing（したことを覚えている）。,0,
E01074,1,1,consider,動詞,よく考える、みなす,to think about carefully,Please consider the risk first.,まずリスクをよく考えてください。,consider -ing。to 動詞は取らない。,0,
E01075,1,1,appear,動詞,現れる、～のように見える,"to come into sight, or to seem",A warning appeared on the screen.,画面に警告が出た。,disappear は「消える」。,0,
E01076,1,1,buy,動詞,買う,to get something by paying,We bought two more licenses.,ライセンスをあと2つ買った。,過去形・過去分詞は bought。,0,
E01077,1,1,wait,動詞,待つ,to stay until something happens,Wait until the copy finishes.,コピーが終わるまで待ってください。,wait for 人／もの。目的語の前に for が要る。,0,
E01078,1,1,serve,動詞,仕える、役立つ、（食事を）出す,"to work for, or to be useful",This folder serves as a backup.,このフォルダは控えの役目をしている。,serve as は「～の役目を果たす」。,0,
E01079,1,1,send,動詞,送る,to make something go somewhere,I sent the file this morning.,そのファイルは今朝送りました。,send 人 もの ＝ send もの to 人。,0,
E01080,1,1,build,動詞,建てる、組み立てる,to make something by putting parts together,It takes ten minutes to build the exe.,exe を作るのに10分かかる。,IT では「ビルドする」でそのまま通じる。,0,
E01081,1,1,stay,動詞,とどまる、泊まる,to remain in a place,Stay on this screen until it ends.,終わるまでこの画面のままにしてください。,stay + 形容詞 で「～のままでいる」。,0,
E01082,1,1,fall,動詞,落ちる、下がる,to move down,Sales fell by ten percent.,売上が1割下がった。,過去形 fell、過去分詞 fallen。米語では名詞で「秋」。,0,
E01083,1,1,cut,動詞,切る、削る,to make something shorter or smaller,We cut the run time in half.,処理時間を半分に減らした。,過去形も過去分詞も cut のまま。,0,
E01084,1,1,reach,動詞,着く、達する、連絡がつく,"to arrive at, or to contact",You can reach me by email.,メールで連絡がつきます。,reach は他動詞。× reach to the station。,0,
E01085,1,1,kill,動詞,殺す、（処理を）強制終了する,to make something die or stop,Kill the process if it hangs.,固まったらその処理を強制終了して。,IT では「強制終了」の意味で日常的に使う。,0,
E01086,1,1,remain,動詞,残る、～のままである,to stay the same,Two items remain unfinished.,2件が未完のまま残っている。,remain + 形容詞 の形が多い。,0,
E01087,1,1,suggest,動詞,提案する、示唆する,to put forward an idea,I suggest we test it once more.,もう一度試すことを提案します。,suggest that 人 (should) 動詞の原形。× suggest 人 to 動詞。,0,
E01088,1,1,raise,動詞,上げる、（問題を）持ち出す,"to lift, or to bring up",He raised a good point.,彼はよい点を挙げた。,raise は他動詞、rise（上がる）は自動詞。,0,
E01089,1,1,pass,動詞,通る、渡す、合格する,"to go by, or to hand over",All the tests passed this time.,今回はテストが全部通った。,pass on は「次へ伝える」。,0,
E01090,1,1,sell,動詞,売る,to give something for money,They sell the same tool overseas.,同じ道具を海外でも売っている。,過去形・過去分詞は sold。,0,
E01091,1,1,require,動詞,必要とする、求める,to need something,This task requires careful checking.,この作業には入念な確認が要る。,need より硬い。規則や仕様の文章に多い。,0,
E01092,1,1,report,動詞,報告する,to give information about something,Report any error to the team.,エラーがあればチームに報告してください。,名詞では「報告書」。,0,
E01093,1,1,decide,動詞,決める,to make a choice,We decided to postpone the release.,リリースを延ばすことに決めた。,decide to 動詞。名詞は decision。,0,
E01094,1,1,return,動詞,戻る、返す,"to go back, or to give back",The function returns a list.,その関数はリストを返す。,IT の「戻り値」も return。,0,
E01095,1,1,explain,動詞,説明する,to make something clear,Let me explain the reason.,理由を説明させてください。,explain 人 とは言わない。explain to 人。,0,
E01096,1,1,develop,動詞,開発する、発展させる,to make something grow or come into being,We developed this tool in-house.,この道具は自分たちで作った。,名詞は development。,0,
E01097,1,1,carry,動詞,運ぶ、持ち歩く,to hold and move something,Carry out the check every morning.,毎朝その確認を行ってください。,carry out は「実施する」で仕事の文章に頻出。,0,
E01098,1,1,break,動詞,壊す、壊れる、休む,"to damage, or to pause",The update broke the old macro.,その更新で古いマクロが動かなくなった。,break down（故障する）。名詞では「休憩」。,0,
E01099,1,1,receive,動詞,受け取る,to get something that is sent,"I received your file, thank you.",ファイルを受け取りました、ありがとう。,get より硬い。ビジネスメールで使いやすい。,0,
E01100,1,1,agree,動詞,同意する,to have the same opinion,I agree with your plan.,あなたの案に賛成です。,agree with 人／agree to 提案。,0,
E01101,1,1,support,動詞,支える、支持する,to help or hold up,The tool supports Windows 11.,その道具は Windows 11 に対応している。,IT では「対応している」の意味で使う。,0,
E01102,1,1,check,動詞,確かめる,to look at something to be sure,Check the log before you ask.,尋ねる前にログを確かめてください。,check on 人（様子を見る）／check in（受付をする）。,0,
E01103,1,1,choose,動詞,選ぶ,to pick one from several,Choose the folder you want to scan.,調べたいフォルダを選んでください。,過去形 chose、過去分詞 chosen。,0,
E01104,1,1,apply,動詞,当てはめる、適用する、申し込む,"to put into use, or to make a request",Apply the same rule to all files.,同じ規則をすべてのファイルに当てはめてください。,apply for（申し込む）／apply to（当てはまる）。,0,
E01105,1,1,time,名詞,時間、時、～回,the thing measured in hours and minutes,We do not have time for another test.,もう一度試す時間はない。,「～回」の意味では数えられる（three times）。,0,
E01106,1,1,year,名詞,年,a period of twelve months,The system has run for three years.,その仕組みは3年動いている。,this year には前置詞を付けない（× in this year）。,0,
E01107,1,1,people,名詞,人々,more than one person,Ten people joined the meeting.,会議には10人が参加した。,person の複数。people 自体が複数扱い。,0,
E01108,1,1,way,名詞,方法、道,"a method, or a road",There is a faster way to do this.,これにはもっと速いやり方がある。,by the way は「ところで」。,0,
E01109,1,1,day,名詞,日,a period of 24 hours,The batch runs once a day.,そのバッチは1日1回動く。,these days は「最近」。,0,
E01110,1,1,thing,名詞,もの、こと,an object or a matter,One thing still bothers me.,ひとつだけ引っかかっている。,漠然と指すときに便利。,0,
E01111,1,1,man,名詞,男性、人間,an adult male,The man at the desk will help you.,受付の男性が案内してくれます。,複数は men。発音が変わるので注意。,0,
E01112,1,1,woman,名詞,女性,an adult female,The woman who wrote this left last year.,これを書いた女性は昨年退職した。,複数は women（発音はウィミン）。,0,
E01113,1,1,life,名詞,生活、人生、寿命,the time a person is alive,The battery life is about six hours.,電池は6時間ほどもつ。,複数は lives。,0,
E01114,1,1,child,名詞,子ども,a young person,The program is for children under ten.,その催しは10歳未満の子ども向けだ。,複数は children。,0,
E01115,1,1,world,名詞,世界,the earth and all its people,This tool is used all over the world.,この道具は世界中で使われている。,in the world と the が付く。,0,
E01116,1,1,school,名詞,学校,a place where children learn,I studied English at a night school.,夜学で英語を学んだ。,go to school は「通学する」（建物ではなく行為）。,0,
E01117,1,1,state,名詞,状態、州,"a condition, or a region of a country",The machine is in a stable state.,その機械は安定した状態にある。,動詞では「述べる」（The rule states that …）。,0,
E01118,1,1,family,名詞,家族,parents and children,My family lives in Chiba.,家族は千葉に住んでいる。,ひとまとまりとみれば単数扱い。,0,
E01119,1,1,group,名詞,集団、班,a number of people or things together,We split the work into three groups.,作業を3つの班に分けた。,a group of + 複数名詞。,0,
E01120,1,1,country,名詞,国、田舎,"a nation, or land away from cities",The rule differs from country to country.,決まりは国ごとに違う。,the country だけだと「田舎」の意味にもなる。,0,
E01121,1,1,problem,名詞,問題、困りごと,a difficult situation,We found the cause of the problem.,問題の原因が分かった。,issue より「困った」感じが強い。,0,
E01122,1,1,hand,名詞,手,the part of the body at the end of the arm,Please hand me the manual.,手引書を渡してください。,動詞では「手渡す」。on the other hand は「一方で」。,0,
E01123,1,1,part,名詞,部分、部品,a piece of something,This part of the code is old.,コードのこの部分は古い。,take part in は「参加する」。,0,
E01124,1,1,place,名詞,場所,a particular position or area,Keep the backup in a safe place.,控えは安全な場所に置いてください。,take place は「起こる、開かれる」。,0,
E01125,1,1,case,名詞,場合、事例,a situation or an example,"In that case, use the old version.",その場合は古い版を使ってください。,in case は「～に備えて」。,0,
E01126,1,1,week,名詞,週,seven days,The review is once a week.,見直しは週に1回だ。,last week／next week に前置詞は付けない。,0,
E01127,1,1,company,名詞,会社,a business organization,The company has about 200 employees.,その会社の社員は200人ほどだ。,「同席」の意味もある（keep someone company）。,0,
E01128,1,1,system,名詞,仕組み、システム,a set of connected parts,The new system started last month.,新しいシステムは先月始まった。,IT に限らず「仕組み」全般に使う。,0,
E01129,1,1,program,名詞,計画、番組、プログラム,"a plan, or a set of instructions",The training program starts in May.,研修は5月に始まる。,英国式の綴りは programme（IT では program）。,0,
E01130,1,1,question,名詞,質問、問題,something you ask,Do you have any questions?,何か質問はありますか。,out of the question は「論外だ」。,0,
E01131,1,1,government,名詞,政府,the group that rules a country,The government changed the rule.,政府がその規則を変えた。,発音は「ガヴァ(ン)メント」。n を落としがち。,0,
E01132,1,1,number,名詞,数、番号,a quantity or a figure,The number of errors went down.,エラーの数が減った。,a number of は「いくつかの」、the number of は「～の数」。,0,
E01133,1,1,night,名詞,夜,the dark part of the day,The batch runs at night.,そのバッチは夜に動く。,at night と前置詞は at。,0,
E01134,1,1,point,名詞,点、要点,"an idea, or a place in space",That is a good point.,それはよい指摘だ。,動詞では「指さす」。point out は「指摘する」。,0,
E01135,1,1,home,名詞,家、自宅,the place where you live,I work from home on Fridays.,金曜は在宅で働いている。,go home に to は付けない。,0,
E01136,1,1,water,名詞,水,the liquid we drink,Keep water away from the machine.,機械に水がかからないように。,数えられない名詞。,0,
E01137,1,1,room,名詞,部屋、余地,a space inside a building,There is room for improvement.,改善の余地がある。,「余地」の意味では数えられない。,0,
