登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E1047,1,1,provide,動詞,提供する、与える,to supply something,The tool provides a daily report.,そのツールは日報を出してくれる。,provide 人 with もの ／ provide もの for 人。
E1048,1,1,sit,動詞,座る,to rest on a seat,Please sit anywhere you like.,どこでも好きなところにお座りください。,座っている状態は be sitting。
E1049,1,1,stand,動詞,立つ、耐える,"to be on your feet, or to bear",I cannot stand this slow response.,この反応の遅さには耐えられない。,stand for は「～を表す」（略語の説明で使う）。
E1050,1,1,lose,動詞,失う、負ける,to no longer have something,Do not lose the license key.,ライセンスキーをなくさないように。,loose（ゆるい）と綴りを間違えやすい。
E1051,1,1,pay,動詞,払う,to give money for something,The company pays for the training.,研修の費用は会社が払う。,pay attention to（注意を払う）も頻出。
E1052,1,1,meet,動詞,会う、満たす,"to come together, or to satisfy",Does this meet the requirement?,これで要件を満たしていますか。,meet a deadline（締切に間に合う）も覚えたい。
E1053,1,1,include,動詞,含む,to have as a part,The price includes shipping.,その値段には送料が含まれる。,including は前置詞のように使う（～を含めて）。
E1054,1,1,continue,動詞,続ける、続く,to keep going,We will continue the test tomorrow.,テストは明日も続けます。,continue to 動詞 でも continue -ing でもよい。
E1055,1,1,set,動詞,設定する、置く,to fix or arrange something,Set the timeout to thirty seconds.,待ち時間は30秒にしてください。,過去形も過去分詞も set のまま。
E1056,1,1,learn,動詞,学ぶ、知る,to gain knowledge,I learned a lot from that mistake.,あの失敗から多くを学んだ。,study は「勉強する」、learn は「身につく」。
E1057,1,1,change,動詞,変える、変わる,to make or become different,We changed the name of the file.,そのファイルの名前を変えた。,名詞では「変更」「おつり」。
E1058,1,1,understand,動詞,理解する,to know the meaning of something,I understand the problem now.,問題が分かりました。,進行形にしない。過去形は understood。
E1059,1,1,watch,動詞,じっと見る、見守る,to look at something for a time,Watch the screen while it installs.,入れている間は画面を見ていてください。,動くものをしばらく見るのが watch。
E1060,1,1,follow,動詞,従う、ついていく,"to go after, or to obey",Follow the steps in this order.,この順番どおりに進めてください。,as follows は「次のとおり」。
E1061,1,1,stop,動詞,止める、やめる,to end a movement or action,Stop the process before you copy.,コピーの前に処理を止めてください。,stop -ing（やめる）と stop to 動詞（～するために止まる）は別。
E1062,1,1,create,動詞,作り出す,to make something new,Create a folder for each month.,月ごとにフォルダを作ってください。,make より「新しく生み出す」感じが強い。
E1063,1,1,speak,動詞,話す,to say words,Could you speak more slowly?,もう少しゆっくり話していただけますか。,speak English のように言語を目的語に取れる。
E1064,1,1,read,動詞,読む,to look at and understand words,Read the notes before you build.,ビルドの前に注意書きを読んでください。,過去形・過去分詞も read だが発音は「レッド」。
E1065,1,1,allow,動詞,許す、可能にする,to let something happen,The setting allows two connections.,その設定なら接続は2本まで使える。,allow 人 to 動詞 の形で覚える。
E1066,1,1,add,動詞,加える,to put something with another thing,Add a comment so others understand.,ほかの人が分かるように注記を足して。,add A to B（B に A を足す）。
E1067,1,1,spend,動詞,（金・時間を）使う,to use money or time,We spent two hours on that bug.,その不具合に2時間かけた。,spend 時間 -ing の形（spend time reading）。
E1068,1,1,grow,動詞,育つ、増える,to become bigger,The file grows about 1 MB a day.,そのファイルは1日に1MBほど増える。,grow up は「大人になる」。
E1069,1,1,open,動詞,開く、開ける,to make something not closed,Open the file with a text editor.,そのファイルはテキストエディタで開いて。,形容詞でも「開いている」（The shop is open）。
E1070,1,1,walk,動詞,歩く,to move on foot,I walk to the station every morning.,毎朝、駅まで歩いている。,walk through は「順を追って説明する」。
E1071,1,1,win,動詞,勝つ、獲得する,to be the best in a contest,Our team won the contract.,うちのチームがその契約を取った。,過去形も過去分詞も won（発音はワン）。
E1072,1,1,offer,動詞,申し出る、提供する,to say you are willing to give,They offered to help with the test.,テストを手伝うと申し出てくれた。,名詞では「申し出」「特価」。
E1073,1,1,remember,動詞,覚えている、思い出す,to keep something in your memory,Remember to save before you close.,閉じる前に保存するのを忘れずに。,remember to 動詞（これからする）と remember -ing（したことを覚えている）。
E1074,1,1,consider,動詞,よく考える、みなす,to think about carefully,Please consider the risk first.,まずリスクをよく考えてください。,consider -ing。to 動詞は取らない。
E1075,1,1,appear,動詞,現れる、～のように見える,"to come into sight, or to seem",A warning appeared on the screen.,画面に警告が出た。,disappear は「消える」。
E1076,1,1,buy,動詞,買う,to get something by paying,We bought two more licenses.,ライセンスをあと2つ買った。,過去形・過去分詞は bought。
E1077,1,1,wait,動詞,待つ,to stay until something happens,Wait until the copy finishes.,コピーが終わるまで待ってください。,wait for 人／もの。目的語の前に for が要る。
E1078,1,1,serve,動詞,仕える、役立つ、（食事を）出す,"to work for, or to be useful",This folder serves as a backup.,このフォルダは控えの役目をしている。,serve as は「～の役目を果たす」。
E1079,1,1,send,動詞,送る,to make something go somewhere,I sent the file this morning.,そのファイルは今朝送りました。,send 人 もの ＝ send もの to 人。
E1080,1,1,build,動詞,建てる、組み立てる,to make something by putting parts together,It takes ten minutes to build the exe.,exe を作るのに10分かかる。,IT では「ビルドする」でそのまま通じる。
E1081,1,1,stay,動詞,とどまる、泊まる,to remain in a place,Stay on this screen until it ends.,終わるまでこの画面のままにしてください。,stay + 形容詞 で「～のままでいる」。
E1082,1,1,fall,動詞,落ちる、下がる,to move down,Sales fell by ten percent.,売上が1割下がった。,過去形 fell、過去分詞 fallen。米語では名詞で「秋」。
E1083,1,1,cut,動詞,切る、削る,to make something shorter or smaller,We cut the run time in half.,処理時間を半分に減らした。,過去形も過去分詞も cut のまま。
E1084,1,1,reach,動詞,着く、達する、連絡がつく,"to arrive at, or to contact",You can reach me by email.,メールで連絡がつきます。,reach は他動詞。× reach to the station。
E1085,1,1,kill,動詞,殺す、（処理を）強制終了する,to make something die or stop,Kill the process if it hangs.,固まったらその処理を強制終了して。,IT では「強制終了」の意味で日常的に使う。
E1086,1,1,remain,動詞,残る、～のままである,to stay the same,Two items remain unfinished.,2件が未完のまま残っている。,remain + 形容詞 の形が多い。
E1087,1,1,suggest,動詞,提案する、示唆する,to put forward an idea,I suggest we test it once more.,もう一度試すことを提案します。,suggest that 人 (should) 動詞の原形。× suggest 人 to 動詞。
E1088,1,1,raise,動詞,上げる、（問題を）持ち出す,"to lift, or to bring up",He raised a good point.,彼はよい点を挙げた。,raise は他動詞、rise（上がる）は自動詞。
E1089,1,1,pass,動詞,通る、渡す、合格する,"to go by, or to hand over",All the tests passed this time.,今回はテストが全部通った。,pass on は「次へ伝える」。
E1090,1,1,sell,動詞,売る,to give something for money,They sell the same tool overseas.,同じ道具を海外でも売っている。,過去形・過去分詞は sold。
E1091,1,1,require,動詞,必要とする、求める,to need something,This task requires careful checking.,この作業には入念な確認が要る。,need より硬い。規則や仕様の文章に多い。
E1092,1,1,report,動詞,報告する,to give information about something,Report any error to the team.,エラーがあればチームに報告してください。,名詞では「報告書」。
E1093,1,1,decide,動詞,決める,to make a choice,We decided to postpone the release.,リリースを延ばすことに決めた。,decide to 動詞。名詞は decision。
E1094,1,1,return,動詞,戻る、返す,"to go back, or to give back",The function returns a list.,その関数はリストを返す。,IT の「戻り値」も return。
E1095,1,1,explain,動詞,説明する,to make something clear,Let me explain the reason.,理由を説明させてください。,explain 人 とは言わない。explain to 人。
E1096,1,1,develop,動詞,開発する、発展させる,to make something grow or come into being,We developed this tool in-house.,この道具は自分たちで作った。,名詞は development。
E1097,1,1,carry,動詞,運ぶ、持ち歩く,to hold and move something,Carry out the check every morning.,毎朝その確認を行ってください。,carry out は「実施する」で仕事の文章に頻出。
E1098,1,1,break,動詞,壊す、壊れる、休む,"to damage, or to pause",The update broke the old macro.,その更新で古いマクロが動かなくなった。,break down（故障する）。名詞では「休憩」。
E1099,1,1,receive,動詞,受け取る,to get something that is sent,"I received your file, thank you.",ファイルを受け取りました、ありがとう。,get より硬い。ビジネスメールで使いやすい。
E1100,1,1,agree,動詞,同意する,to have the same opinion,I agree with your plan.,あなたの案に賛成です。,agree with 人／agree to 提案。
E1101,1,1,support,動詞,支える、支持する,to help or hold up,The tool supports Windows 11.,その道具は Windows 11 に対応している。,IT では「対応している」の意味で使う。
E1102,1,1,check,動詞,確かめる,to look at something to be sure,Check the log before you ask.,尋ねる前にログを確かめてください。,check on 人（様子を見る）／check in（受付をする）。
E1103,1,1,choose,動詞,選ぶ,to pick one from several,Choose the folder you want to scan.,調べたいフォルダを選んでください。,過去形 chose、過去分詞 chosen。
E1104,1,1,apply,動詞,当てはめる、適用する、申し込む,"to put into use, or to make a request",Apply the same rule to all files.,同じ規則をすべてのファイルに当てはめてください。,apply for（申し込む）／apply to（当てはまる）。
E1105,1,1,time,名詞,時間、時、～回,the thing measured in hours and minutes,We do not have time for another test.,もう一度試す時間はない。,「～回」の意味では数えられる（three times）。
E1106,1,1,year,名詞,年,a period of twelve months,The system has run for three years.,その仕組みは3年動いている。,this year には前置詞を付けない（× in this year）。
E1107,1,1,people,名詞,人々,more than one person,Ten people joined the meeting.,会議には10人が参加した。,person の複数。people 自体が複数扱い。
E1108,1,1,way,名詞,方法、道,"a method, or a road",There is a faster way to do this.,これにはもっと速いやり方がある。,by the way は「ところで」。
E1109,1,1,day,名詞,日,a period of 24 hours,The batch runs once a day.,そのバッチは1日1回動く。,these days は「最近」。
E1110,1,1,thing,名詞,もの、こと,an object or a matter,One thing still bothers me.,ひとつだけ引っかかっている。,漠然と指すときに便利。
E1111,1,1,man,名詞,男性、人間,an adult male,The man at the desk will help you.,受付の男性が案内してくれます。,複数は men。発音が変わるので注意。
E1112,1,1,woman,名詞,女性,an adult female,The woman who wrote this left last year.,これを書いた女性は昨年退職した。,複数は women（発音はウィミン）。
E1113,1,1,life,名詞,生活、人生、寿命,the time a person is alive,The battery life is about six hours.,電池は6時間ほどもつ。,複数は lives。
E1114,1,1,child,名詞,子ども,a young person,The program is for children under ten.,その催しは10歳未満の子ども向けだ。,複数は children。
E1115,1,1,world,名詞,世界,the earth and all its people,This tool is used all over the world.,この道具は世界中で使われている。,in the world と the が付く。
E1116,1,1,school,名詞,学校,a place where children learn,I studied English at a night school.,夜学で英語を学んだ。,go to school は「通学する」（建物ではなく行為）。
E1117,1,1,state,名詞,状態、州,"a condition, or a region of a country",The machine is in a stable state.,その機械は安定した状態にある。,動詞では「述べる」（The rule states that …）。
E1118,1,1,family,名詞,家族,parents and children,My family lives in Chiba.,家族は千葉に住んでいる。,ひとまとまりとみれば単数扱い。
E1119,1,1,group,名詞,集団、班,a number of people or things together,We split the work into three groups.,作業を3つの班に分けた。,a group of + 複数名詞。
E1120,1,1,country,名詞,国、田舎,"a nation, or land away from cities",The rule differs from country to country.,決まりは国ごとに違う。,the country だけだと「田舎」の意味にもなる。
E1121,1,1,problem,名詞,問題、困りごと,a difficult situation,We found the cause of the problem.,問題の原因が分かった。,issue より「困った」感じが強い。
E1122,1,1,hand,名詞,手,the part of the body at the end of the arm,Please hand me the manual.,手引書を渡してください。,動詞では「手渡す」。on the other hand は「一方で」。
E1123,1,1,part,名詞,部分、部品,a piece of something,This part of the code is old.,コードのこの部分は古い。,take part in は「参加する」。
E1124,1,1,place,名詞,場所,a particular position or area,Keep the backup in a safe place.,控えは安全な場所に置いてください。,take place は「起こる、開かれる」。
E1125,1,1,case,名詞,場合、事例,a situation or an example,"In that case, use the old version.",その場合は古い版を使ってください。,in case は「～に備えて」。
E1126,1,1,week,名詞,週,seven days,The review is once a week.,見直しは週に1回だ。,last week／next week に前置詞は付けない。
E1127,1,1,company,名詞,会社,a business organization,The company has about 200 employees.,その会社の社員は200人ほどだ。,「同席」の意味もある（keep someone company）。
E1128,1,1,system,名詞,仕組み、システム,a set of connected parts,The new system started last month.,新しいシステムは先月始まった。,IT に限らず「仕組み」全般に使う。
E1129,1,1,program,名詞,計画、番組、プログラム,"a plan, or a set of instructions",The training program starts in May.,研修は5月に始まる。,英国式の綴りは programme（IT では program）。
E1130,1,1,question,名詞,質問、問題,something you ask,Do you have any questions?,何か質問はありますか。,out of the question は「論外だ」。
E1131,1,1,government,名詞,政府,the group that rules a country,The government changed the rule.,政府がその規則を変えた。,発音は「ガヴァ(ン)メント」。n を落としがち。
E1132,1,1,number,名詞,数、番号,a quantity or a figure,The number of errors went down.,エラーの数が減った。,a number of は「いくつかの」、the number of は「～の数」。
E1133,1,1,night,名詞,夜,the dark part of the day,The batch runs at night.,そのバッチは夜に動く。,at night と前置詞は at。
E1134,1,1,point,名詞,点、要点,"an idea, or a place in space",That is a good point.,それはよい指摘だ。,動詞では「指さす」。point out は「指摘する」。
E1135,1,1,home,名詞,家、自宅,the place where you live,I work from home on Fridays.,金曜は在宅で働いている。,go home に to は付けない。
E1136,1,1,water,名詞,水,the liquid we drink,Keep water away from the machine.,機械に水がかからないように。,数えられない名詞。
E1137,1,1,room,名詞,部屋、余地,a space inside a building,There is room for improvement.,改善の余地がある。,「余地」の意味では数えられない。
E1138,1,1,mother,名詞,母,a female parent,My mother taught me to be careful.,母から慎重にするよう教わった。,father と対で覚える。
E1139,1,1,area,名詞,地域、範囲、面積,a part of a place or subject,This area of the code needs work.,コードのこの範囲は手を入れる必要がある。,発音は「エリア」でなく「エアリア」に近い。
E1140,1,1,money,名詞,お金,coins and notes,The tool saves both time and money.,その道具は時間もお金も節約する。,数えられない名詞。× moneys。
E1141,1,1,story,名詞,話、物語,an account of events,That is a long story.,それは長い話になる。,英国式では「階」の意味は storey。
E1142,1,1,fact,名詞,事実,something that is true,"In fact, the file was never saved.",実のところ、そのファイルは保存されていなかった。,in fact は「実は」で話の切り返しに使う。
E1143,1,1,month,名詞,月（暦の）,one of the twelve parts of a year,We check it every month.,毎月それを確かめている。,発音の th に注意。複数は months。
E1144,1,1,lot,名詞,たくさん,a large amount,There is a lot of work left.,残りの仕事がたくさんある。,a lot of は数えられる名詞にも使える。
E1145,1,1,study,名詞,勉強、研究,the act of learning,The study took six months.,その調査には半年かかった。,動詞では「勉強する」。
E1146,1,1,book,名詞,本,a set of printed pages,This book explains it well.,この本はそれをうまく説明している。,動詞では「予約する」。
E1147,1,1,eye,名詞,目,the organ you see with,Keep an eye on the log file.,ログファイルを見ておいてください。,keep an eye on は「注意して見ておく」。
E1148,1,1,job,名詞,仕事、職,the work someone does for money,The job takes about two hours.,その作業には2時間ほどかかる。,IT では「処理の単位」も job。
E1149,1,1,word,名詞,語、言葉,a unit of language,I do not know this word.,この単語は知らない。,in other words は「言い換えると」。
E1150,1,1,business,名詞,商売、業務,trade and work,This is a business decision.,これは経営上の判断だ。,数えられない名詞（会社の意味では数えられる）。
E1151,1,1,issue,名詞,問題、課題,an important topic or problem,We found three issues in the test.,テストで問題が3件見つかった。,problem より中立的で、仕事の場面ではこちらが好まれる。
E1152,1,1,side,名詞,側、面,one of the two parts of something,Look at it from the user side.,使う人の側から見てみて。,on the other side は「反対側に」。
E1153,1,1,head,名詞,頭、長,"the top part of the body, or a leader",She is the head of the team.,彼女はそのチームの長だ。,動詞では「向かう」（head for）。
E1154,1,1,house,名詞,家,a building where people live,We built the tool in house.,その道具は自社で作った。,in-house は「社内で」という決まり文句。
E1155,1,1,service,名詞,サービス、業務,work done for others,The service starts at eight.,そのサービスは8時に始まる。,Windows の「サービス」も同じ語。
E1156,1,1,friend,名詞,友人,a person you like and know well,A friend told me about this tool.,友人からこの道具のことを聞いた。,make friends with は「友達になる」。
E1157,1,1,father,名詞,父,a male parent,My father worked at a factory.,父は工場で働いていた。,mother と対で覚える。
E1158,1,1,power,名詞,力、電力、権限,"strength, energy, or authority",Check the power cable first.,まず電源ケーブルを確かめて。,power supply（電源）、power user（上級者）。
E1159,1,1,hour,名詞,時間（1時間）,sixty minutes,The build takes half an hour.,ビルドに30分かかる。,h を発音しないので an hour。
E1160,1,1,game,名詞,試合、ゲーム,an activity with rules,It is a numbers game in the end.,結局は数の勝負だ。,「試合」も「遊び」も game。
E1161,1,1,line,名詞,線、行、列,"a long thin mark, or a row",The error is on line 42.,エラーは42行目にある。,in line は「並んで」。
E1162,1,1,end,名詞,終わり、端,the last part,"At the end of the day, it works.",結局のところ、それは動く。,at the end of the day は「結局は」。
E1163,1,1,member,名詞,一員、会員,a person in a group,Every member has a copy.,全員が写しを持っている。,membership は「会員であること」。
E1164,1,1,law,名詞,法律、法則,a rule made by a government,The law changed this April.,その法律は今年の4月に変わった。,lawyer は「弁護士」。
E1165,1,1,car,名詞,車,a vehicle with four wheels,I go by car when it rains.,雨のときは車で行く。,by car に a は付けない。
E1166,1,1,city,名詞,市、都市,a large town,The office moved to another city.,事務所は別の市へ移った。,複数は cities。
E1167,1,1,community,名詞,地域社会、共同体,a group of people living in one place,There is a large user community.,利用者の集まりが大きい。,IT では「利用者の集まり」の意味でよく使う。
E1168,1,1,name,名詞,名前,what someone or something is called,Give the file a clear name.,そのファイルに分かりやすい名前を付けて。,動詞では「名づける」。
E1169,1,1,president,名詞,大統領、社長,the leader of a country or company,The president signed the order.,社長がその注文書に署名した。,会社では「社長」の意味になる。
E1170,1,1,team,名詞,チーム、班,a group working together,Our team has five members.,うちのチームは5人だ。,英国では複数扱いになることもある。
E1171,1,1,minute,名詞,分,sixty seconds,Give me five minutes.,5分ください。,複数形の minutes は「議事録」の意味にもなる。
E1172,1,1,idea,名詞,考え、着想,a thought or plan,That is a good idea.,それはよい考えだ。,have no idea は「まったく分からない」。
E1173,1,1,kid,名詞,子ども,a child,The app is easy enough for kids.,そのアプリは子どもでも使えるくらい簡単だ。,くだけた言い方。動詞では「からかう」。
E1174,1,1,body,名詞,体、本体,the physical structure of a person,The body of the mail was empty.,メールの本文は空だった。,文章の「本文」も body。
E1175,1,1,information,名詞,情報,facts about something,We need more information.,もっと情報が要る。,数えられない名詞。× informations。
E1176,1,1,level,名詞,水準、段階,a position on a scale,The error level is set to warning.,エラーの水準は警告になっている。,この単語帳の Lv. もこの語。
E1177,1,1,office,名詞,事務所、会社,a place where people work,I will be in the office all day.,一日じゅう事務所にいます。,at the office（勤務先で）。
E1178,1,1,door,名詞,ドア、戸,the thing you open to enter,Please close the door quietly.,静かにドアを閉めてください。,next door は「隣の家」。
E1179,1,1,health,名詞,健康,the condition of your body,Take care of your health.,体に気をつけて。,数えられない名詞。
E1180,1,1,person,名詞,人,one human being,Ask the person who wrote it.,書いた本人に聞いてください。,複数は people を使うのがふつう。
E1181,1,1,art,名詞,芸術、技術,the making of beautiful things,There is an art to writing manuals.,手引書を書くにはこつがいる。,「こつ、技」の意味でも使う。
E1182,1,1,war,名詞,戦争,fighting between countries,The word came into use after the war.,その語は戦後に使われ始めた。,数えられる場合と数えられない場合がある。
E1183,1,1,history,名詞,歴史、履歴,past events,Check the change history first.,まず変更の履歴を確かめて。,IT では「履歴」の意味で毎日使う。
E1184,1,1,party,名詞,党、パーティー、当事者,"a group, or a social event",Both parties agreed to the change.,両者ともその変更に同意した。,契約書では「当事者」の意味になる。
E1185,1,1,result,名詞,結果,what happens because of something,The result was better than expected.,結果は思ったよりよかった。,as a result は「その結果」。
E1186,1,1,morning,名詞,朝、午前,the early part of the day,Let us talk in the morning.,朝に話しましょう。,in the morning と前置詞は in。
E1187,1,1,reason,名詞,理由,why something happens,The reason is not clear yet.,理由はまだはっきりしない。,the reason why … の why は省いてよい。
E1188,1,1,research,名詞,調査、研究,careful study of a subject,We did some research on the tool.,その道具について少し調べた。,数えられない名詞。× researches。
E1189,1,1,girl,名詞,少女,a female child,The girl in the photo is my niece.,写真の女の子は姪だ。,boy と対で覚える。
E1190,1,1,guy,名詞,男、やつ,a man,The guys in the next room know it.,隣の部屋の人たちが知っている。,you guys は男女を問わず「みんな」。
E1191,1,1,food,名詞,食べ物,what people eat,"No food near the equipment, please.",機器の近くで飲食はご遠慮ください。,数えられない名詞として使うことが多い。
E1192,1,1,moment,名詞,瞬間、少しの間,a very short time,"Wait a moment, please.",少々お待ちください。,at the moment は「いまのところ」。
E1193,1,1,air,名詞,空気,the gas we breathe,Keep the air vents clear.,通気口をふさがないように。,数えられない名詞。
E1194,1,1,teacher,名詞,教師,a person who teaches,My teacher told me to read aloud.,先生から音読するよう言われた。,teach（教える）＋ -er。
E1195,1,1,force,名詞,力、強制,physical strength or pressure,Do not force the connector.,コネクタを無理に押し込まないで。,動詞では「無理に～させる」。
E1196,1,1,step,名詞,段階、一歩,one action in a process,Follow the steps in order.,手順を順番どおりに進めてください。,step by step は「一歩ずつ」。
E1197,1,1,value,名詞,価値、値,how much something is worth,The value must be a number.,その値は数字でなければならない。,IT では変数の「値」も value。
E1198,1,1,list,名詞,一覧、表,a series of items written down,Add your name to the list.,その一覧に名前を足してください。,動詞では「並べる、載せる」。
