登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説
E15716,1,5,townspeople,名詞,町の人々、住民,the people who live in a particular town,The townspeople gathered in the square at noon.,町の人々は正午に広場に集まった。,つねに複数扱い。town＋people で、村なら villagers を使う。
E15717,1,5,tryout,名詞,選抜テスト、試演,a test to see if someone is good enough,He made the team after a tough tryout.,彼は厳しい選抜テストを経てチームに入った。,スポーツや演劇の選考に使う米語。動詞は try out for the team。
E15718,1,5,undersea,形容詞,海底の、海中の,existing or happening below the sea,Engineers repaired the undersea cable last week.,技術者たちは先週、海底ケーブルを修理した。,under＋sea。undersea cable（海底ケーブル）の形でニュースによく出る。
E15719,1,5,vamp,名詞,妖婦、男をたぶらかす女,a woman who uses her charm to control men,The old film cast her as a mysterious vamp.,その古い映画は彼女を謎めいた妖婦役にした。,vampire を縮めた古い語で、映画の妖婦役を指す。音楽では同じ伴奏形を繰り返す動詞にもなる。
E15720,1,5,wedlock,名詞,婚姻、結婚している状態,the state of being married,The child was born out of wedlock.,その子は婚姻関係のない間に生まれた。,ほぼ out of wedlock（婚外の）という形でしか使わない古風な語。
E15721,1,5,welterweight,名詞,ウェルター級、ウェルター級選手,a boxing weight class between light and middle,He won the welterweight title in three rounds.,彼は3ラウンドでウェルター級のタイトルを取った。,ボクシングの階級名。上は middleweight、下は lightweight。
E15722,1,5,wry,形容詞,皮肉な、苦笑いの,showing dry humor about something unpleasant,He gave a wry smile and said nothing.,彼は苦笑いを浮かべて何も言わなかった。,a wry smile（苦笑い）が定番。発音は「ライ」で w は読まない。
E15723,1,5,detainee,名詞,被拘留者、抑留者,a person kept in prison without a trial,Lawyers were finally allowed to meet the detainees.,弁護士はようやく被拘留者に会うことを許された。,detain（拘留する）＋-ee（される人）。ニュースや人権の記事に多い。
E15724,1,5,ferment,動詞,発酵する、発酵させる,to change sugar into alcohol or acid slowly,The grapes ferment in wooden barrels for weeks.,ぶどうは木の樽の中で何週間も発酵する。,名詞では「不穏な動き」の意味もある。fermentation は発酵。
E15725,1,5,overpower,動詞,圧倒する、力でねじ伏せる,to beat someone by being much stronger,Two guards overpowered the man at the gate.,警備員2人が門でその男を取り押さえた。,over-（超えて）＋power。においや味が「強すぎる」時にも使う。
E15726,1,5,predicate,動詞,～に基づかせる、前提とする,to base something on a particular idea,Their plan is predicated on steady sales growth.,彼らの計画は着実な売り上げ増を前提にしている。,ふつう be predicated on の受け身で使う。文法では名詞で「述語」。
E15727,1,5,brainstorm,動詞,アイデアを出し合う,to think of many ideas quickly as a group,Let's brainstorm some titles for the report.,報告書の題名をいくつか出し合おう。,brainstorming（ブレインストーミング）の形でも使う。批判せず数を出すのがこつ。
E15728,1,5,revolutionize,動詞,根本から変える、革命を起こす,to change something completely and for the better,Smartphones revolutionized the way we shop.,スマートフォンは買い物の仕方を根本から変えた。,revolution（革命）の動詞。英国つづりは revolutionise。
E15729,1,5,abominable,形容詞,ひどい、忌まわしい,extremely bad or unpleasant,The prisoners lived in abominable conditions.,囚人たちはひどい環境で暮らしていた。,強い非難を表すかたい語。Abominable Snowman は雪男のこと。
E15730,1,5,absolution,名詞,罪の赦し、免罪,official forgiveness for something wrong,The priest granted absolution to the dying man.,司祭は死にゆく男に罪の赦しを与えた。,宗教の語だが、比喩で「責任を免れること」にも使う。動詞は absolve。
E15731,1,5,adequacy,名詞,適切さ、十分であること,the state of being enough or good enough,The report questions the adequacy of the safety checks.,報告書は安全点検の十分さに疑問を投げかけている。,adequate の名詞形。反対は inadequacy（不十分さ）。
E15732,1,5,amalgam,名詞,混合物、アマルガム,a mixture of different things joined together,Her style is an amalgam of jazz and folk.,彼女の作風はジャズとフォークの混合だ。,元は水銀と他の金属の合金で歯の詰め物に使われた語。今は an amalgam of A and B の比喩用法が中心。
E15733,1,5,ambulatory,形容詞,歩ける、外来の,"able to walk, or not needing a hospital bed",The clinic offers ambulatory surgery for minor cases.,その診療所は軽症向けの日帰り手術を行っている。,ambulance と同じ「歩く」が語源の医療用語。ambulatory care は入院しない外来診療を指す。
E15734,1,5,annulment,名詞,婚姻無効、取り消し,an official act that makes something no longer valid,The couple sought an annulment of their marriage.,その夫婦は婚姻の無効を求めた。,法律用語。divorce（離婚）と違い「初めから無効」とする点が異なる。
E15735,1,5,atoll,名詞,環礁,a ring-shaped coral island around a lagoon,The plane landed on a tiny Pacific atoll.,飛行機は太平洋の小さな環礁に着陸した。,サンゴが輪の形に育ってできた低い島。中央のラグーンを囲む形が特徴で、海面上昇の記事に出る。
E15736,1,5,barrio,名詞,スペイン語系住民の地区,a district where Spanish speakers live in a US city,He grew up in a barrio on the east side.,彼は東側の下町のヒスパニック地区で育った。,スペイン語で「地区」。米国ではスペイン語話者が多く住む低所得の地域を指し、生活感のある語。
E15737,1,5,benzene,名詞,ベンゼン,a colorless liquid chemical made from oil,Workers must avoid breathing benzene vapor.,作業員はベンゼンの蒸気を吸わないようにしなければならない。,化学の基本物質だが発がん性がある。benzine（ベンジン）とは別物。
E15738,1,5,blackish,形容詞,黒っぽい,slightly black in color,The soup turned a blackish color as it cooked.,スープは煮えるにつれて黒っぽい色になった。,-ish は「～っぽい」。reddish、greenish なども同じ作り方。
E15739,1,5,broadside,名詞,激しい非難、一斉射撃,a strong public attack in words,The mayor fired a broadside at the local press.,市長は地元の報道機関に激しい非難を浴びせた。,元は軍艦の片側の砲を一斉に撃つこと。fire a broadside at で使う。
E15740,1,5,burdensome,形容詞,重荷になる、厄介な,causing a lot of work or worry,The new paperwork is burdensome for small shops.,新しい書類仕事は小さな店には重荷だ。,burden（重荷）＋-some で「負担が重い」。規則や手続き、費用の重さを批判するときによく使う。
E15741,1,5,cadmium,名詞,カドミウム,a soft poisonous metal used in batteries,The factory was fined for releasing cadmium.,その工場はカドミウムを排出して罰金を科された。,元素記号は Cd。電池やめっきに使うが毒性が強く、イタイイタイ病など公害の話題に出る重金属。
E15742,1,5,carnivorous,形容詞,肉食の,eating meat as its natural food,Lions and wolves are carnivorous animals.,ライオンとオオカミは肉食動物だ。,carn-（肉）から。反対は herbivorous（草食の）、omnivorous（雑食の）。
E15743,1,5,characteristically,副詞,特徴的に、いつものように,in the usual way for that person or thing,"He answered characteristically, with a short joke.",彼はいつもどおり、短い冗談で答えた。,「その人らしく」という含みがある。typically に近いが個性を強調する。
E15744,1,5,chimera,名詞,幻想、キメラ,a hope or plan that can never come true,A perfect solution here is simply a chimera.,ここで完璧な解決策など、ただの幻想だ。,ギリシャ神話の合成獣が語源。実現しない夢の比喩が中心で、生物学では細胞が混ざった個体も指す。
E15745,1,5,chiropractor,名詞,カイロプラクター、整体師,a person who treats pain by adjusting the spine,She sees a chiropractor for her back pain.,彼女は腰痛のためにカイロプラクターに通っている。,背骨を手で調整する施術者。治療法は chiropractic という。
E15746,1,5,claustrophobic,形容詞,閉所恐怖症の、息が詰まる,afraid of small closed spaces,The narrow lift made her feel claustrophobic.,その狭いエレベーターで彼女は息が詰まる思いがした。,名詞は claustrophobia。部屋や状況が「窮屈な」の意味でも使う。
E15747,1,5,cleave,動詞,切り裂く、割る,to cut something into two parts,The axe cleaved the log in one blow.,斧は一撃で丸太を割った。,「しがみつく」という正反対の意味もある珍しい語。cleaver は肉切り包丁。
E15748,1,5,councilor,名詞,議員、評議員,a member of a local government council,A city councilor visited the flooded area.,市議会議員が浸水した地域を訪れた。,英国つづりは councillor。相談役の counselor と混同しやすい。
E15749,1,5,crayfish,名詞,ザリガニ,a small freshwater animal like a lobster,We caught crayfish in the shallow stream.,私たちは浅い小川でザリガニを捕まえた。,単複同形で複数でも crayfish。米国南部では crawfish と呼び、ゆでて食べる料理が名物になっている。
E15750,1,5,defraud,動詞,だまし取る、詐取する,to get money from someone by cheating,He was accused of defrauding elderly clients.,彼は高齢の顧客からだまし取ったとして告発された。,defraud A of B（AからBをだまし取る）の形。名詞は fraud（詐欺）。
E15751,1,5,desertion,名詞,脱走、見捨てること,the act of leaving a person or duty for good,He was charged with desertion from the army.,彼は軍からの脱走の罪に問われた。,desert（見捨てる）の名詞。砂漠の desert と同じつづりだが発音が違う。
E15752,1,5,dike,名詞,堤防、土手,a long wall of earth built to hold back water,Villagers repaired the dike before the storm.,村人たちは嵐の前に堤防を修理した。,英国つづりは dyke。海や川の水をせき止める土手のことで、オランダの治水を語る文章によく出る。
E15753,1,5,dispensation,名詞,特別許可、免除,official permission not to follow a rule,She received a dispensation to miss the ceremony.,彼女は式を欠席する特別な許可を得た。,教会法の用語が広まった。dispense（分け与える）とは意味がずれる。
E15754,1,5,dowager,名詞,（爵位を継いだ）未亡人,a widow who holds a title from her husband,The dowager duchess lived alone in the old house.,先代の公爵夫人はその古い家に一人で住んでいた。,夫の死後もその称号や財産を保つ未亡人を指す古い語。dowager empress なら皇太后のことになる。
E15755,1,5,enema,名詞,浣腸,liquid put into the bowel to clean it,The nurse prepared an enema before the exam.,看護師は検査の前に浣腸の準備をした。,腸を洗浄するための医療処置。発音は最初の e にアクセントがあり、検査や便秘の治療で使われる。
E15756,1,5,euphoric,形容詞,幸福感に満ちた、有頂天の,feeling extremely happy and excited,The team was euphoric after the final whistle.,終了の笛のあとチームは有頂天だった。,名詞は euphoria。喜びが一時的で強いときに使い、勝利や成功の直後の高揚感を表すことが多い。
E15757,1,5,evangelism,名詞,伝道、福音伝道,the work of spreading a religious belief,His evangelism took him to villages across Africa.,彼の伝道活動は彼をアフリカ各地の村へ連れて行った。,近年は技術や製品を熱心に広めることにも使う。人は evangelist。
E15758,1,5,exploitative,形容詞,搾取的な,unfairly using people for your own gain,Critics called the contract exploitative.,批評家たちはその契約を搾取的だと呼んだ。,exploit（利用する、搾取する）から。低賃金や長時間労働を批判する労働問題の記事に頻繁に出る。
E15759,1,5,freshen,動詞,さわやかにする、新しくする,to make something cleaner or newer,A little paint will freshen up the kitchen.,少し塗るだけで台所はさっぱりするだろう。,freshen up は「身なりを整える、化粧直しをする」の意味でよく使う。
E15760,1,5,frostbite,名詞,凍傷,injury to the body caused by extreme cold,The climber lost two toes to frostbite.,その登山家は凍傷で足の指を2本失った。,frost（霜）＋bite（かむ）。指先や耳など末端に起こりやすく、登山や寒冷地の記事によく出る。
E15761,1,5,gulag,名詞,強制労働収容所,a prison camp for forced labor,His grandfather died in a Siberian gulag.,彼の祖父はシベリアの強制収容所で死んだ。,旧ソ連の強制収容所制度の略称から広まった語。比喩で過酷で逃げ場のない場所を指すこともある。
E15762,1,5,handyman,名詞,便利屋、何でも屋,a person paid to do small repairs,We called a handyman to fix the door.,私たちはドアを直すために便利屋を呼んだ。,複数形は handymen。handy（器用な、便利な）から来ており、家の小さな修繕を請け負う人を指す。
E15763,1,5,heretical,形容詞,異端の、正統でない,against what most people or a church believe,His heretical views cost him his job.,彼の異端の考えは職を失わせた。,名詞は heresy（異端）、人は heretic。学問や業界の常識に反する時にも使う。
E15764,1,5,immeasurable,形容詞,計り知れない,too large or great to be measured,Her help was of immeasurable value to us.,彼女の助けは私たちにとって計り知れない価値があった。,im-（否定）＋measurable。大きさや影響をほめる文脈で多い。
E15765,1,5,immorality,名詞,不道徳、不品行,behavior that is wrong by common standards,The novel attacks the immorality of the rich.,その小説は富裕層の不道徳を批判している。,immoral の名詞。道徳と無関係な amorality とは区別する。
E15766,1,5,impressionable,形容詞,影響されやすい、感受性の強い,easily influenced because of being young,Children are impressionable at that age.,その年ごろの子どもは影響を受けやすい。,impress（印象を与える）から。ふつう子どもや若者について使い、an impressionable age の形が多い。
E15767,1,5,impressionist,名詞,印象派の画家、物まね芸人,"an artist of the impressionist style, or a mimic",Monet was the best known impressionist.,モネは最もよく知られた印象派の画家だった。,モネらの印象派の画家と、声や仕草をまねる芸人の両方を指す。形容詞として絵の様式も表す。
E15768,1,5,indisputable,形容詞,議論の余地がない、明白な,so clear that nobody can argue about it,The evidence of the leak is indisputable.,漏えいの証拠は議論の余地がない。,in-＋dispute（論争する）＋-able。an indisputable fact の形が多い。
E15769,1,5,inquisitor,名詞,尋問者、審問官,a person who questions others harshly,The reporter played the inquisitor at the press event.,その記者は会見で厳しい尋問役を演じた。,歴史の宗教裁判 Inquisition から。厳しい質問者の比喩でも使う。
E15770,1,5,interceptor,名詞,迎撃機、迎撃するもの,a fast plane or missile that stops an attack,The interceptor was launched within two minutes.,迎撃ミサイルは2分以内に発射された。,intercept（途中で捕らえる）＋-or。通信を傍受する装置も指す。
E15771,1,5,interpolation,名詞,補間、書き入れ,adding a value or words between known ones,The chart uses interpolation to fill missing years.,そのグラフは欠けた年を補間で埋めている。,数学やデータ処理で欠けた値を推定すること。文章に後から書き足された語句を指す用法もある。
E15772,1,5,licorice,名詞,甘草、リコリス菓子,a black sweet made from a plant root,The child chewed a stick of licorice.,その子はリコリス菓子を一本かじった。,英国つづりは liquorice。甘草の根から作る黒い菓子で、薬草としても古くから使われてきた。
E15773,1,5,lunge,動詞,突進する、突きかかる,to move forward suddenly and strongly,The dog lunged at the postman.,その犬は郵便配達員に飛びかかった。,lunge at ...（～に突きかかる）の形。フェンシングの突きも指す。
E15774,1,5,manipulator,名詞,人を操る人、操作装置,a person who controls others unfairly,He turned out to be a clever manipulator.,彼は巧妙に人を操る人物だと分かった。,manipulate（巧みに操る）から。人を操る悪い意味と、ロボットの腕など機械の操作装置の両方を指す。
E15775,1,5,metallurgical,形容詞,冶金の、金属加工の,relating to the science of metals,The lab ran a metallurgical test on the beam.,研究所はその梁の金属材料試験を行った。,名詞は metallurgy（冶金学）。金属の性質や加工を扱う分野で、事故調査の報告書などに出てくる。
E15776,1,5,micron,名詞,ミクロン,a unit equal to one millionth of a meter,The filter blocks particles under one micron.,そのフィルターは1ミクロン未満の粒子を止める。,現在は micrometer が正式名。半導体や粉じんの話でよく使う。
E15777,1,5,midpoint,名詞,中間点、中ほど,the point exactly in the middle,We are at the midpoint of the project.,私たちは計画のちょうど中間点にいる。,時間にも距離にも使え、数学では線分の中点を指す。at the midpoint of ... の形で使うことが多い。
E15778,1,5,multiverse,名詞,多元宇宙,the idea that many universes exist together,The film plays with the idea of a multiverse.,その映画は多元宇宙という発想で遊んでいる。,multi-（多い）＋universe。物理学の仮説から映画用語に広がった。
E15779,1,5,nibble,動詞,少しずつかじる,to eat something in small bites,She nibbled a biscuit while she read.,彼女は読書をしながらビスケットを少しずつかじった。,少しずつかじる動作で、魚が餌をつつくのにも使う。名詞の nibbles は「軽いつまみ」を指す。
E15780,1,5,nosy,形容詞,詮索好きな、おせっかいな,too interested in other people's business,Our nosy neighbor asks about every visitor.,詮索好きな隣人は訪問者のたびに尋ねてくる。,nose（鼻）から「他人のことに鼻を突っ込む」。nosey ともつづり、a nosy neighbor の形が定番。
E15781,1,5,oligarchy,名詞,寡頭制、少数支配,rule by a small group of powerful people,The country slid from democracy into oligarchy.,その国は民主制から寡頭制へと滑り落ちた。,olig-（少ない）＋-archy（支配）。支配層は oligarchs。
E15782,1,5,pagoda,名詞,塔、パゴダ,an Asian tower with many curved roofs,The five-story pagoda survived the earthquake.,その五重塔は地震に耐えた。,アジアの仏教寺院に建つ多層の塔。日本の五重塔も英語ではこの語で説明されることが多い。
E15783,1,5,parallax,名詞,視差,the way an object seems to move when you move,Parallax error makes the reading look too high.,視差による誤差で目盛りが高く見えてしまう。,見る位置を変えると物がずれて見える現象。天文学の距離測定や計器の読み取り誤差で使う。
E15784,1,5,penniless,形容詞,無一文の、一文なしの,having no money at all,He arrived in the city penniless and alone.,彼は無一文で一人でその街に着いた。,penny（1ペニー）＋-less で「一銭も持たない」。文学的でやや古風だが、物語の描写でよく見る。
E15785,1,5,phalanx,名詞,密集隊形、一団,a tightly packed group of people,A phalanx of officers blocked the entrance.,警官の一団が入り口をふさいだ。,古代ギリシャの密集歩兵隊が語源。人の壁のような一団を指し、解剖学では指の骨も意味する。
E15786,1,5,photogenic,形容詞,写真写りのよい,looking attractive in photographs,Her dog is surprisingly photogenic.,彼女の犬は驚くほど写真写りがよい。,photo（写真）＋-genic（生む）。人にも風景にも使え、写真映えするという意味で気軽に使える。
E15787,1,5,polymerization,名詞,重合,joining small molecules into a long chain,Heat starts the polymerization of the resin.,熱が樹脂の重合を始めさせる。,プラスチック製造の基本反応。動詞は polymerize、製品は polymer。
E15788,1,5,predictability,名詞,予測可能性,how easy something is to guess in advance,Investors value the predictability of these returns.,投資家はこうした収益の予測しやすさを重んじる。,predictable の名詞形。政策や収益の読みやすさを良い意味でほめるときによく使われる。
E15789,1,5,quintet,名詞,五重奏、5人組,a group of five musicians or players,The jazz quintet played for two hours.,そのジャズ五重奏団は2時間演奏した。,quint-（5）から。4人組は quartet、3人組は trio、2人組は duo と人数によって語が変わる。
E15790,1,5,retaliatory,形容詞,報復の、仕返しの,done to punish someone for their action,The country imposed retaliatory tariffs on imports.,その国は輸入品に報復関税をかけた。,動詞は retaliate、名詞は retaliation。retaliatory tariffs（報復関税）の形で貿易記事に多い。
E15791,1,5,rhinoceros,名詞,サイ,a large heavy animal with horns on its nose,The rhinoceros is hunted for its horn.,サイは角のために狩られている。,口語では rhino と短く言う。rhino- は「鼻」を表す語根で、鼻の上の角がこの名の由来になった。
E15792,1,5,rickshaw,名詞,人力車,a small cart pulled by a person for passengers,Tourists rode a rickshaw through the old town.,観光客は人力車で旧市街を回った。,日本語の「人力車」が語源。今は自転車式の cycle rickshaw が多い。
E15793,1,5,romp,動詞,はしゃぎ回る、楽勝する,"to play in a lively way, or to win easily",The puppies romped across the wet grass.,子犬たちはぬれた芝生をはしゃぎ回った。,スポーツでは romp to victory（楽勝する）の形でよく使う。
E15794,1,5,scruffy,形容詞,みすぼらしい、だらしない,untidy and not clean in appearance,He showed up in a scruffy old coat.,彼はみすぼらしい古いコート姿で現れた。,人にも建物にも使う口語で、手入れがされていない感じを表す。反対は smart（きちんとした）。
E15795,1,5,sewerage,名詞,下水設備、下水処理,the system of pipes that carries away waste water,The town needs a new sewerage system.,その町は新しい下水設備を必要としている。,sewer は下水管そのもの、sewerage は下水を集めて処理する仕組み全体を指す点が違う。
E15796,1,5,shoo,動詞,追い払う、しっしと言う,to make an animal or person go away,She shooed the cat off the table.,彼女は猫をテーブルから追い払った。,追い払うときの「しっ」という声から生まれた語。shoo away の形や間投詞としても使われる。
E15797,1,5,slung,動詞,ひょいと掛けた（sling の過去形）,"past form of sling, to hang or throw loosely",He slung his bag over one shoulder.,彼はかばんを片方の肩にひょいと掛けた。,sling - slung - slung と変化する。カメラや銃を肩に掛ける動作。
E15798,1,5,smelter,名詞,製錬所、製錬炉,a factory where metal is separated from rock,The copper smelter closed after fifty years.,その銅の製錬所は50年を経て閉鎖した。,動詞 smelt（鉱石から金属を取り出す）から。smell とは無関係。
E15799,1,5,smoothness,名詞,なめらかさ、円滑さ,the quality of being even or without trouble,The smoothness of the ride surprised us.,乗り心地のなめらかさに私たちは驚いた。,手ざわりのなめらかさだけでなく、進行の順調さや動きの滑らかさにも幅広く使える名詞。
E15800,1,5,spontaneity,名詞,自発性、自然さ,acting freely without planning first,Too many rules kill the spontaneity of the class.,規則が多すぎると授業の自然さが失われる。,形容詞は spontaneous。発音は「スポンタニーイティ」で ne を伸ばす。
E15801,1,5,stateless,形容詞,無国籍の、状態を保持しない,having no citizenship of any country,The war left thousands of children stateless.,戦争は何千人もの子どもを無国籍にした。,IT では「前の情報を持たない」の意味で stateless server と言う。
E15802,1,5,stateside,副詞,本国では、米国本土へ,in or toward the United States,He flew stateside after two years abroad.,彼は2年の海外勤務のあと本国へ飛んだ。,海外にいる米国人が本国を指して使う語。副詞が中心だが a stateside office のように形容詞にもなる。
E15803,1,5,stepson,名詞,継子（男）、義理の息子,the son of your husband or wife from before,He treats his stepson like his own child.,彼は義理の息子を実の子のように扱っている。,step- は血のつながらない家族に付く。娘なら stepdaughter。
E15804,1,5,surly,形容詞,無愛想な、不機嫌な,unfriendly and rude in manner,The surly waiter never smiled once.,その無愛想なウェイターは一度も笑わなかった。,怒りや不機嫌を態度に出す無愛想さを表す。内気な shy とは違い、相手に冷たく当たる感じ。
E15805,1,5,torsion,名詞,ねじれ、ねじり,"the act of twisting, or the force that twists",Engineers measured the torsion in the steel bar.,技術者は鋼の棒のねじれを測定した。,物理や工学でねじれの力を指す用語。医学では臓器がねじれる状態にも使い、動詞は twist。
E15806,1,5,touchstone,名詞,試金石、判断の基準,a standard used to judge the quality of things,Honesty was the touchstone of his career.,誠実さが彼の仕事人生の基準だった。,金の純度を調べる石が語源。a touchstone for ... の形で使う。
E15807,1,5,treatable,形容詞,治療できる,able to be cured or helped by medicine,The disease is serious but treatable.,その病気は重いが治療は可能だ。,treat（治療する）＋-able で「治療できる」。反対は untreatable で、病名とともに使うことが多い。
E15808,1,5,typeface,名詞,書体、活字体,the design of a set of printed letters,They chose a clean typeface for the report.,彼らは報告書にすっきりした書体を選んだ。,font はサイズや太さを含む一組、typeface はデザインそのもの。
E15809,1,5,unbound,形容詞,縛られていない、製本されていない,not tied or limited by anything,The papers were still unbound on his desk.,その書類は机の上でまだとじられていなかった。,bind（縛る）の過去分詞に un- が付いた形。書類がとじられていない意味と、制約がない比喩の両方。
E15810,1,5,undergrad,名詞,学部生、大学生,a student studying for a first degree,She works as a tutor for undergrads.,彼女は学部生の指導員として働いている。,undergraduate のくだけた略。大学院生は grad student。
E15811,1,5,underpaid,形容詞,給料が安すぎる,not paid enough for the work done,Nurses here feel badly underpaid.,ここの看護師は給料が安すぎると感じている。,under-（不足）＋paid。反対は overpaid（もらいすぎの）。
E15812,1,5,unnerving,形容詞,不安にさせる、落ち着かなくさせる,making you feel worried and less confident,There was an unnerving silence in the hall.,広間には不安をかき立てる静けさがあった。,nerve（度胸）を奪うという意味。scary のような直接的な怖さより、じわじわ落ち着かない感じ。
E15813,1,5,upping,動詞,増やしている（up の現在分詞）,increasing an amount or level,The company is upping its safety budget.,その会社は安全予算を増やしている。,動詞 up（増やす）から。up the ante は「賭け金を上げる」。
E15814,1,5,urethra,名詞,尿道,the tube that carries urine out of the body,The doctor explained where the urethra is located.,医師は尿道の位置を説明した。,尿を体外へ運ぶ管を指す解剖学の語。似た形の ureter は腎臓と膀胱をつなぐ尿管で別の器官。
E15815,1,5,verve,名詞,気迫、活気,energy and enthusiasm in what you do,She played the piece with great verve.,彼女はその曲を大変な気迫で演奏した。,フランス語由来で、演奏や文章の生き生きした勢いをほめる語。with verve の形でよく使う。
E15816,1,5,watchtower,名詞,見張り塔、監視塔,a tall tower used for watching over an area,Guards stood in the watchtower all night.,警備員は一晩中見張り塔に立っていた。,watch（見張る）＋tower。城や刑務所、山火事の監視に使う塔で、歴史や事件の記事に出てくる。
E15817,1,5,waveform,名詞,波形,the shape of a wave shown on a graph,The engineer checked the waveform on the screen.,技術者は画面上の波形を確認した。,音や電気信号の形をグラフに表したもの。音響編集ソフトや計測機器の説明で頻繁に出てくる。
E15818,1,5,weighty,形容詞,重大な、重い,serious and important,The board faced several weighty decisions.,取締役会はいくつもの重大な決定に直面した。,weight の形容詞だが、物理的な重さより「重要で真剣な」という意味で使うことが多い。
E15819,1,5,zephyr,名詞,そよ風、微風,a soft gentle wind,A warm zephyr moved the curtains.,暖かなそよ風がカーテンを揺らした。,ギリシャ神話の西風の神ゼピュロスから。詩や文学で使うやわらかい語で、日常会話には少ない。
E15820,1,5,heighten,動詞,高める、強める,to make a feeling or effect stronger,The music heightened the tension in the scene.,音楽はその場面の緊張を高めた。,height＋-en。感情や意識など、目に見えないものに使うことが多い。
E15821,1,5,bureaucrat,名詞,官僚、役人,an official who works for a government office,The plan was blocked by cautious bureaucrats.,その計画は慎重な官僚たちに阻まれた。,しばしば批判的な響きを持つ。制度は bureaucracy（官僚制）。
E15822,1,5,forego,動詞,先立つ、控える,"to go before, or to give something up",You may forego dessert if you are full.,おなかがいっぱいならデザートは控えてもよい。,「差し控える、なしで済ます」の意味では forgo が本来のつづり。混同されやすいので注意したい。
E15823,1,5,fortification,名詞,要塞、防備を固めること,a wall or structure built to defend a place,The old fortifications still surround the town.,古い城壁は今も町を取り囲んでいる。,動詞は fortify。城壁など防御の建造物を指すほか、食品に栄養を加える「強化」の意味もある。
